"Date","Amount_Theft"
"2003-07-26",348
"2003-07-27",260
"2003-07-28",338
"2003-07-29",326
"2003-07-30",369
"2003-07-31",342
"2003-08-01",432
"2003-08-02",289
"2003-08-03",274
"2003-08-04",342
"2003-08-05",319
"2003-08-06",331
"2003-08-07",299
"2003-08-08",349
"2003-08-09",303
"2003-08-10",278
"2003-08-11",300
"2003-08-12",324
"2003-08-13",359
"2003-08-14",351
"2003-08-15",352
"2003-08-16",306
"2003-08-17",294
"2003-08-18",335
"2003-08-19",332
"2003-08-20",351
"2003-08-21",313
"2003-08-22",313
"2003-08-23",295
"2003-08-24",239
"2003-08-25",325
"2003-08-26",359
"2003-08-27",325
"2003-08-28",324
"2003-08-29",339
"2003-08-30",282
"2003-08-31",212
"2003-09-01",321
"2003-09-02",324
"2003-09-03",307
"2003-09-04",262
"2003-09-05",311
"2003-09-06",290
"2003-09-07",237
"2003-09-08",294
"2003-09-09",308
"2003-09-10",298
"2003-09-11",286
"2003-09-12",332
"2003-09-13",278
"2003-09-14",254
"2003-09-15",337
"2003-09-16",317
"2003-09-17",273
"2003-09-18",292
"2003-09-19",338
"2003-09-20",302
"2003-09-21",262
"2003-09-22",292
"2003-09-23",317
"2003-09-24",308
"2003-09-25",311
"2003-09-26",294
"2003-09-27",267
"2003-09-28",246
"2003-09-29",286
"2003-09-30",286
"2003-10-01",419
"2003-10-02",249
"2003-10-03",277
"2003-10-04",261
"2003-10-05",242
"2003-10-06",290
"2003-10-07",292
"2003-10-08",296
"2003-10-09",313
"2003-10-10",290
"2003-10-11",279
"2003-10-12",242
"2003-10-13",281
"2003-10-14",294
"2003-10-15",313
"2003-10-16",291
"2003-10-17",320
"2003-10-18",279
"2003-10-19",275
"2003-10-20",290
"2003-10-21",307
"2003-10-22",321
"2003-10-23",274
"2003-10-24",281
"2003-10-25",283
"2003-10-26",250
"2003-10-27",271
"2003-10-28",306
"2003-10-29",268
"2003-10-30",302
"2003-10-31",268
"2003-11-01",378
"2003-11-02",212
"2003-11-03",262
"2003-11-04",258
"2003-11-05",251
"2003-11-06",262
"2003-11-07",279
"2003-11-08",247
"2003-11-09",204
"2003-11-10",294
"2003-11-11",278
"2003-11-12",273
"2003-11-13",284
"2003-11-14",286
"2003-11-15",279
"2003-11-16",214
"2003-11-17",269
"2003-11-18",249
"2003-11-19",286
"2003-11-20",283
"2003-11-21",300
"2003-11-22",287
"2003-11-23",212
"2003-11-24",281
"2003-11-25",255
"2003-11-26",276
"2003-11-27",181
"2003-11-28",246
"2003-11-29",244
"2003-11-30",238
"2003-12-01",377
"2003-12-02",240
"2003-12-03",270
"2003-12-04",232
"2003-12-05",284
"2003-12-06",283
"2003-12-07",226
"2003-12-08",268
"2003-12-09",272
"2003-12-10",293
"2003-12-11",223
"2003-12-12",252
"2003-12-13",245
"2003-12-14",221
"2003-12-15",269
"2003-12-16",235
"2003-12-17",242
"2003-12-18",234
"2003-12-19",280
"2003-12-20",275
"2003-12-21",223
"2003-12-22",264
"2003-12-23",277
"2003-12-24",223
"2003-12-25",116
"2003-12-26",193
"2003-12-27",251
"2003-12-28",214
"2003-12-29",235
"2003-12-30",226
"2003-12-31",249
"2004-01-01",449
"2004-01-02",249
"2004-01-03",243
"2004-01-04",197
"2004-01-05",199
"2004-01-06",206
"2004-01-07",202
"2004-01-08",207
"2004-01-09",270
"2004-01-10",231
"2004-01-11",177
"2004-01-12",234
"2004-01-13",199
"2004-01-14",245
"2004-01-15",235
"2004-01-16",233
"2004-01-17",216
"2004-01-18",182
"2004-01-19",194
"2004-01-20",252
"2004-01-21",223
"2004-01-22",209
"2004-01-23",225
"2004-01-24",200
"2004-01-25",184
"2004-01-26",191
"2004-01-27",171
"2004-01-28",231
"2004-01-29",195
"2004-01-30",173
"2004-01-31",151
"2004-02-01",263
"2004-02-02",228
"2004-02-03",171
"2004-02-04",235
"2004-02-05",222
"2004-02-06",201
"2004-02-07",193
"2004-02-08",146
